category,count,frequency,severity,trend_pct_change,freq_norm,sev_norm,trend_norm,priority_score
Delivery Time/Delay,22,0.256,0.909,-5.0,0.7852760736196319,0.909,0.011245799327892464,0.641
"Pricing, Charges & Refunds",28,0.326,0.607,5.6,1.0,0.607,0.012518002880460873,0.596
Customer Support Experience,11,0.128,0.909,-34.0,0.39263803680981596,0.909,0.007765242438790207,0.503
Order Accuracy,3,0.035,1.0,58.3,0.10736196319018405,1.0,0.01884301488238118,0.442
App Technical Issues,3,0.035,1.0,-98.7,0.10736196319018405,1.0,0.0,0.438
Restaurant/Food Quality,12,0.14,0.667,58.3,0.4294478527607362,0.667,0.01884301488238118,0.422
UX/Navigation/Usability,4,0.047,0.25,8233.3,0.1441717791411043,0.25,1.0,0.4
Payment/Transaction Issues,3,0.035,0.333,-60.4,0.10736196319018405,0.333,0.004596735477676429,0.172
