category,count,frequency,severity,trend_pct_change,freq_norm,sev_norm,trend_norm,priority_score
Delivery Time/Delay,26,0.257,0.923,-6.2,1.0,0.923,0.01294277929155313,0.722
Payment/Transaction Issues,2,0.02,1.0,3471.4,0.07782101167315175,1.0,1.0,0.677
Customer Support Experience,20,0.198,0.9,20.5,0.7704280155642024,0.9,0.020521117166212532,0.635
"Pricing, Charges & Refunds",23,0.228,0.739,-38.2,0.8871595330739299,0.739,0.00386012715712988,0.607
App Technical Issues,12,0.119,0.833,301.8,0.4630350194552529,0.833,0.10036330608537693,0.52
Order Accuracy,8,0.079,1.0,-51.8,0.30739299610894943,1.0,0.0,0.508
Restaurant/Food Quality,6,0.059,0.667,-19.6,0.22957198443579765,0.667,0.009139418710263395,0.349
UX/Navigation/Usability,4,0.04,0.5,-19.6,0.1556420233463035,0.5,0.009139418710263395,0.257
